,https://coinmarketcap.com/currencies/bombcrypto/,,,,,,,
BNB Data Source,https://coinmarketcap.com/currencies/binance-coin/,,,,,,,
,,,,,,,,
Token Prices,,,,,,,,
BCOIN/USD,$3.69,,,,,,,
BNB/USD,$520.47,,,,,,,
,,,,,,,,
Asset,,,Investment,,,,,
BUSD,$0.00,,Capital,"$1,610.42",,,,
BNB,0.0096,,ROI (%),4.67%,,,,
BCOIN (Wallet),19.0250,,ROI (Days),#DIV/0!,,,,
BCOIN (Claimed),0.0000,,Average Daily,#DIV/0!,,,,
BCOIN (Unclaimed),0,,Net Profit,"-$1,535.22",,,,
Total,$75.20,,,,,,,
,,,,,,,,
Daily Progress,,,,,Claim,,,
Date,Chest,Gain/BCOIN,Gain/USD,,Date,Amount,After Fees (3%),Actual
